fraud_case_id,fraud_type_id,detection_date,detection_timestamp,detection_method,ml_confidence_score,subscriber_key,msisdn,suspected_amount,actual_loss,prevented_loss,status,resolution_type,resolution_date,investigating_team,city,risk_score,is_repeat_offender
1274,12,2025-08-31,2025-08-31 00:41:00,Rule Engine,,14484,447286739407,352.25,0.0,352.25,Resolved,Customer Warned,2025-09-25,Revenue Assurance,Glasgow,95,False
1275,8,2025-09-24,2025-09-24 11:41:00,Customer Report,,7995,447658569651,30533.19,0.0,30533.19,Confirmed,Write-off,,Revenue Assurance,Belfast,95,False
1276,10,2025-05-26,2025-05-26 04:57:00,Real-time Monitor,,22779,447708025459,1664.63,1237.89,391.76,False Positive,,,External Partner,Liverpool,61,False
1277,10,2025-03-17,2025-03-17 02:50:00,ML Model,0.87,18043,447510635261,842.15,0.0,842.15,Resolved,No Action,2025-04-08,External Partner,Liverpool,86,False
1278,11,2025-04-21,2025-04-21 21:56:00,Customer Report,,4775,447923013449,173.17,0.0,173.17,Resolved,Customer Warned,2025-04-25,Revenue Assurance,Nottingham,93,False
1279,3,2026-01-20,2026-01-20 18:50:00,Partner Alert,,25335,447433657439,6449.2,3220.31,1578.03,False Positive,,,Security,Belfast,62,False
1280,10,2025-03-26,2025-03-26 16:27:00,Customer Report,,19674,447519481916,982.91,0.0,982.91,Confirmed,Account Blocked,,External Partner,Manchester,63,True
1281,12,2025-07-18,2025-07-18 19:21:00,Customer Report,,26987,447984038250,1032.6,0.0,1032.6,Detected,,,Fraud Ops,London,64,False
1282,1,2025-11-28,2025-11-28 01:29:00,ML Model,0.9,13363,447930705005,1468.31,0.0,1468.31,Confirmed,No Action,,Revenue Assurance,Southampton,100,False
1283,11,2025-08-15,2025-08-15 20:17:00,Rule Engine,,8852,447118058086,3246.16,0.0,3246.16,Resolved,Account Blocked,2025-09-08,External Partner,Sheffield,88,False
1284,4,2025-01-30,2025-01-30 13:42:00,Customer Report,,4261,447740285150,1442.91,0.0,1442.91,Confirmed,Refund Issued,,Revenue Assurance,Liverpool,61,False
1285,1,2025-09-09,2025-09-09 18:44:00,Manual Review,,19720,447171719624,3652.44,2781.5,1806.48,False Positive,,,Security,London,85,False
1286,8,2025-05-15,2025-05-15 10:22:00,ML Model,0.73,23427,447283876670,3824.33,2939.46,1859.61,Investigating,,,Revenue Assurance,Liverpool,85,True
1287,6,2025-02-10,2025-02-10 02:38:00,Real-time Monitor,,5354,447100498689,955.3,720.12,385.38,Investigating,,,External Partner,Manchester,74,False
1288,2,2025-09-20,2025-09-20 18:22:00,Rule Engine,,12321,447230206457,4899.77,0.0,4899.77,Confirmed,Customer Warned,,Revenue Assurance,Leeds,88,True
1289,8,2025-06-01,2025-06-01 10:03:00,Manual Review,,4616,447524759964,15701.36,0.0,15701.36,Resolved,Write-off,2025-06-07,Security,Edinburgh,62,False
1290,1,2025-05-22,2025-05-22 21:16:00,Rule Engine,,27263,447209108748,1495.33,0.0,1495.33,Detected,,,External Partner,Sheffield,94,True
1291,1,2025-08-26,2025-08-26 02:00:00,Manual Review,,27328,447273384543,3730.49,0.0,3730.49,Resolved,No Action,2025-09-01,Fraud Ops,Leicester,91,False
1292,6,2026-02-28,2026-02-28 13:10:00,Real-time Monitor,,18761,447686397334,405.66,0.0,405.66,Resolved,Law Enforcement,2026-03-17,Security,Newcastle,91,False
1293,8,2025-08-13,2025-08-13 17:15:00,Manual Review,,28726,447223464702,12076.29,0.0,12076.29,Confirmed,Refund Issued,,Revenue Assurance,Edinburgh,80,False
1294,3,2025-10-21,2025-10-21 13:25:00,ML Model,0.92,22307,447227769868,37638.43,22368.74,15648.36,Escalated,,,External Partner,Sheffield,63,False
1295,11,2025-05-01,2025-05-01 11:48:00,Partner Alert,,74,447503852374,4511.53,0.0,4511.53,Resolved,Refund Issued,2025-05-29,Revenue Assurance,Manchester,70,False
1296,6,2025-06-17,2025-06-17 21:23:00,Rule Engine,,487,447934605104,1364.07,0.0,1364.07,Detected,,,Security,Edinburgh,88,False
1297,8,2025-07-27,2025-07-27 05:04:00,Partner Alert,,18699,447248975333,28686.87,0.0,28686.87,Resolved,No Action,2025-08-17,Security,Cardiff,85,False
1298,9,2025-01-21,2025-01-21 17:18:00,ML Model,0.86,25669,447687042694,1137.18,0.0,1137.18,Resolved,Write-off,2025-01-30,Fraud Ops,Birmingham,68,False
1299,1,2025-06-19,2025-06-19 13:46:00,Customer Report,,19603,447869605587,4012.09,1664.61,1815.59,Escalated,,,Security,Edinburgh,78,False
1300,3,2025-11-07,2025-11-07 20:05:00,Customer Report,,9292,447472351517,17217.19,0.0,17217.19,Resolved,No Action,2025-11-25,External Partner,Belfast,94,False
1301,12,2026-01-20,2026-01-20 05:15:00,Rule Engine,,29334,447684082167,1830.19,0.0,1830.19,Resolved,Customer Warned,2026-01-23,External Partner,Sheffield,84,False
1302,6,2025-12-03,2025-12-03 19:04:00,Rule Engine,,23574,447774115503,414.18,203.04,92.53,False Positive,,,External Partner,Sheffield,99,False
1303,4,2025-03-18,2025-03-18 04:53:00,Rule Engine,,27332,447239036162,1721.2,0.0,1721.2,Resolved,Customer Warned,2025-04-04,Security,Edinburgh,96,False
1304,12,2025-01-20,2025-01-20 21:40:00,ML Model,0.87,25966,447354993957,1591.53,0.0,1591.53,Resolved,Write-off,2025-02-06,Security,London,77,False
1305,8,2025-07-04,2025-07-04 21:29:00,Customer Report,,18652,447141141272,37900.57,0.0,37900.57,Confirmed,Write-off,,Fraud Ops,Belfast,67,False
1306,11,2025-04-01,2025-04-01 16:25:00,ML Model,0.71,15096,447737367690,3914.06,0.0,3914.06,Confirmed,Law Enforcement,,External Partner,Leeds,68,False
1307,10,2025-05-31,2025-05-31 23:36:00,Customer Report,,27747,447389107635,412.09,0.0,412.09,Confirmed,Refund Issued,,External Partner,Southampton,74,False
1308,2,2025-10-21,2025-10-21 10:11:00,ML Model,0.88,17467,447917652479,4679.23,0.0,4679.23,Confirmed,Refund Issued,,Security,Newcastle,90,False
1309,11,2025-07-19,2025-07-19 10:33:00,ML Model,0.89,19921,447939325278,921.63,0.0,921.63,Resolved,Customer Warned,2025-08-07,Security,Manchester,74,False
1310,11,2025-02-24,2025-02-24 16:16:00,ML Model,0.87,12658,447699883347,2843.67,0.0,2843.67,Confirmed,Law Enforcement,,Security,London,99,False
1311,5,2025-12-15,2025-12-15 03:56:00,ML Model,0.86,22133,447650088887,14721.59,0.0,14721.59,Confirmed,Account Blocked,,Fraud Ops,Leicester,67,False
1312,6,2025-03-26,2025-03-26 08:50:00,Rule Engine,,1236,447192352716,141.44,0.0,141.44,Resolved,Write-off,2025-04-06,Security,Leeds,85,False
1313,3,2025-08-21,2025-08-21 06:52:00,ML Model,0.72,13746,447610946095,5822.37,2251.83,2246.35,False Positive,,,Fraud Ops,Leeds,87,False
1314,3,2025-01-09,2025-01-09 20:51:00,Customer Report,,3576,447404383047,48010.11,0.0,48010.11,Confirmed,Refund Issued,,Fraud Ops,London,82,False
1315,4,2025-09-28,2025-09-28 23:53:00,Rule Engine,,4314,447913643760,1898.55,1018.47,413.96,Investigating,,,External Partner,London,77,False
1316,2,2025-09-21,2025-09-21 13:26:00,ML Model,0.71,1913,447448381081,2681.24,987.84,802.41,False Positive,,,External Partner,Nottingham,88,False
1317,3,2025-03-27,2025-03-27 21:17:00,Real-time Monitor,,17739,447778789948,7341.84,0.0,7341.84,Resolved,No Action,2025-04-07,Security,Newcastle,97,False
1318,3,2025-06-12,2025-06-12 03:05:00,ML Model,0.82,26622,447844296615,39486.59,17858.63,15175.28,False Positive,,,External Partner,Liverpool,61,True
1319,10,2025-01-21,2025-01-21 07:04:00,ML Model,0.87,7748,447240797507,133.61,0.0,133.61,Resolved,Law Enforcement,2025-02-11,Fraud Ops,Nottingham,80,False
1320,1,2025-01-03,2025-01-03 13:35:00,Customer Report,,24188,447295581034,1687.49,0.0,1687.49,Resolved,No Action,2025-01-10,Fraud Ops,Glasgow,79,False
1321,5,2025-11-12,2025-11-12 22:59:00,ML Model,0.98,7278,447554270461,19461.84,0.0,19461.84,Resolved,Write-off,2025-11-28,External Partner,Leicester,100,False
1322,8,2025-05-30,2025-05-30 05:58:00,ML Model,0.77,12086,447409144517,32335.71,18032.24,13633.53,Investigating,,,Revenue Assurance,Manchester,93,False
1323,10,2025-12-29,2025-12-29 06:38:00,ML Model,0.67,4693,447792722274,1109.56,0.0,1109.56,Resolved,Write-off,2026-01-03,Fraud Ops,Belfast,79,False
1324,1,2026-01-14,2026-01-14 05:13:00,ML Model,0.74,23513,447693506495,139.76,0.0,139.76,Detected,,,External Partner,Liverpool,61,False
1325,9,2025-07-26,2025-07-26 05:57:00,Rule Engine,,11472,447615481523,1061.43,0.0,1061.43,Detected,,,External Partner,Liverpool,76,False
1326,3,2025-11-18,2025-11-18 02:32:00,ML Model,0.84,26761,447932706150,13648.7,4317.72,3313.0,Investigating,,,External Partner,Bristol,95,False
1327,1,2025-01-28,2025-01-28 02:29:00,Rule Engine,,22528,447330928068,2791.93,1006.39,951.02,Investigating,,,Revenue Assurance,Sheffield,73,False
1328,7,2025-04-06,2025-04-06 19:13:00,ML Model,0.71,24281,447542317499,1915.55,1126.96,708.87,False Positive,,,Revenue Assurance,Manchester,87,False
1329,7,2025-10-27,2025-10-27 07:57:00,Rule Engine,,5458,447449076166,196.96,0.0,196.96,Confirmed,No Action,,Security,Newcastle,75,False
1330,10,2025-10-04,2025-10-04 15:46:00,Rule Engine,,21123,447597171931,446.21,0.0,446.21,Resolved,Law Enforcement,2025-10-13,External Partner,Leeds,70,False
1331,3,2025-01-11,2025-01-11 15:39:00,Rule Engine,,23446,447878494795,28766.66,0.0,28766.66,Confirmed,Law Enforcement,,Fraud Ops,Birmingham,88,False
1332,10,2025-10-26,2025-10-26 19:29:00,ML Model,0.67,24896,447665862015,905.65,296.8,248.1,Investigating,,,External Partner,Newcastle,67,False
1333,8,2026-02-23,2026-02-23 04:09:00,Rule Engine,,921,447972222778,16680.4,0.0,16680.4,Resolved,No Action,2026-03-25,Fraud Ops,Birmingham,83,False
1334,9,2025-01-28,2025-01-28 19:51:00,Manual Review,,22480,447599936356,1118.56,483.95,409.69,Investigating,,,External Partner,Liverpool,73,False
1335,8,2025-07-10,2025-07-10 12:59:00,Customer Report,,1995,447957589057,33533.72,0.0,33533.72,Confirmed,Refund Issued,,Fraud Ops,Leeds,61,False
1336,3,2025-07-18,2025-07-18 05:13:00,ML Model,0.67,28574,447881638713,32447.64,0.0,32447.64,Resolved,No Action,2025-07-29,Fraud Ops,London,69,False
1337,2,2026-01-09,2026-01-09 08:41:00,ML Model,0.72,28438,447889116616,4714.95,0.0,4714.95,Resolved,Write-off,2026-01-10,Revenue Assurance,London,99,False
1338,11,2025-10-23,2025-10-23 02:38:00,Rule Engine,,3774,447255890191,2136.36,0.0,2136.36,Resolved,Refund Issued,2025-11-14,External Partner,London,100,False
1339,2,2025-04-17,2025-04-17 21:08:00,Manual Review,,1754,447223658456,871.28,679.65,281.45,False Positive,,,Fraud Ops,Manchester,67,False
1340,1,2025-04-03,2025-04-03 23:59:00,ML Model,0.77,17340,447915992238,305.07,0.0,305.07,Resolved,Account Blocked,2025-04-18,External Partner,Leicester,75,False
1341,6,2026-01-09,2026-01-09 10:13:00,Rule Engine,,17569,447114397874,467.47,0.0,467.47,Confirmed,Refund Issued,,Revenue Assurance,Sheffield,79,False
1342,1,2026-01-27,2026-01-27 16:08:00,ML Model,0.66,11048,447109386819,3946.5,2285.79,1256.7,Investigating,,,Security,Birmingham,69,False
1343,4,2025-01-09,2025-01-09 11:46:00,Rule Engine,,12469,447949303592,1687.98,0.0,1687.98,Resolved,Write-off,2025-02-06,Fraud Ops,Nottingham,60,False
1344,2,2025-12-08,2025-12-08 00:49:00,Rule Engine,,3185,447345740029,2887.46,0.0,2887.46,Confirmed,Write-off,,External Partner,Manchester,69,False
1345,4,2025-07-03,2025-07-03 04:13:00,Partner Alert,,27733,447129036288,1121.91,0.0,1121.91,Resolved,Customer Warned,2025-07-13,Security,Manchester,69,True
1346,12,2025-01-28,2025-01-28 17:31:00,Rule Engine,,9108,447164756261,873.8,0.0,873.8,Confirmed,Refund Issued,,Revenue Assurance,Cardiff,99,True
1347,8,2025-02-13,2025-02-13 20:57:00,ML Model,0.73,3508,447467638808,21845.48,7935.18,6213.28,False Positive,,,Security,Glasgow,70,False
1348,8,2025-11-25,2025-11-25 19:23:00,ML Model,0.69,29753,447535445261,875.08,0.0,875.08,Resolved,Law Enforcement,2025-11-27,External Partner,Cardiff,100,False
1349,4,2026-02-07,2026-02-07 21:49:00,Rule Engine,,11405,447499399531,651.11,0.0,651.11,Detected,,,Security,Bristol,71,False
1350,2,2025-02-24,2025-02-24 01:49:00,ML Model,0.67,3884,447956050388,770.61,0.0,770.61,Resolved,Customer Warned,2025-03-10,Fraud Ops,London,73,True
1351,11,2026-02-10,2026-02-10 02:31:00,Rule Engine,,5305,447555057451,2121.61,0.0,2121.61,Confirmed,Customer Warned,,Fraud Ops,Edinburgh,60,False
1352,10,2025-12-10,2025-12-10 10:45:00,Rule Engine,,1993,447597631383,764.18,561.07,177.64,Investigating,,,Fraud Ops,Leeds,92,True
1353,5,2025-05-07,2025-05-07 09:23:00,Real-time Monitor,,17390,447395867188,3167.21,0.0,3167.21,Resolved,Law Enforcement,2025-05-10,External Partner,Glasgow,72,False
1354,2,2025-12-27,2025-12-27 11:34:00,Rule Engine,,28161,447667067028,1063.11,0.0,1063.11,Detected,,,Security,Sheffield,87,False
1355,6,2025-09-12,2025-09-12 06:38:00,ML Model,0.72,13192,447268131288,107.88,68.56,49.8,Investigating,,,External Partner,Leicester,76,False
1356,11,2025-08-12,2025-08-12 16:15:00,Rule Engine,,27221,447248414766,4133.65,0.0,4133.65,Detected,,,External Partner,London,62,True
1357,2,2025-08-01,2025-08-01 00:48:00,Customer Report,,2223,447953735774,2185.26,0.0,2185.26,Confirmed,Law Enforcement,,Fraud Ops,London,88,False
1358,8,2025-03-05,2025-03-05 08:37:00,Customer Report,,7732,447683984539,45739.51,0.0,45739.51,Detected,,,Fraud Ops,Southampton,96,False
1359,10,2025-11-20,2025-11-20 22:04:00,Customer Report,,10377,447942305034,1408.05,0.0,1408.05,Resolved,Law Enforcement,2025-11-28,Revenue Assurance,London,76,False
1360,5,2026-02-18,2026-02-18 12:50:00,Rule Engine,,19861,447668211193,29687.46,0.0,29687.46,Resolved,No Action,2026-03-17,External Partner,Belfast,74,False
1361,2,2025-10-30,2025-10-30 03:26:00,Rule Engine,,29756,447510173692,2251.18,1354.07,956.69,Investigating,,,Fraud Ops,Birmingham,73,False
1362,12,2025-09-06,2025-09-06 10:27:00,Partner Alert,,5998,447326490179,985.79,0.0,985.79,Confirmed,Refund Issued,,Security,Cardiff,96,False
1363,12,2025-08-17,2025-08-17 08:10:00,Partner Alert,,28949,447562554021,1623.68,0.0,1623.68,Detected,,,Revenue Assurance,London,73,False
1364,5,2026-02-24,2026-02-24 21:01:00,ML Model,0.79,20671,447962482587,45251.78,32604.53,18020.47,False Positive,,,Security,Manchester,94,False
1365,9,2025-05-01,2025-05-01 16:56:00,Rule Engine,,25561,447727830747,770.29,0.0,770.29,Resolved,No Action,2025-05-20,External Partner,Leicester,69,False
1366,1,2025-08-16,2025-08-16 09:59:00,Customer Report,,21676,447645694386,4816.34,0.0,4816.34,Resolved,No Action,2025-09-02,Fraud Ops,Southampton,64,False
1367,11,2025-05-14,2025-05-14 11:33:00,Partner Alert,,16815,447891826149,1590.16,835.86,737.92,Investigating,,,Revenue Assurance,Cardiff,88,False
1368,4,2025-01-06,2025-01-06 13:30:00,ML Model,0.83,10493,447608175439,1101.24,0.0,1101.24,Detected,,,Fraud Ops,Southampton,71,False
1369,4,2025-02-13,2025-02-13 05:32:00,Customer Report,,29196,447636531976,634.13,0.0,634.13,Confirmed,Write-off,,Security,Nottingham,70,False
1370,4,2025-09-16,2025-09-16 21:59:00,Real-time Monitor,,27786,447612320575,343.35,0.0,343.35,Resolved,Customer Warned,2025-10-05,Fraud Ops,Glasgow,62,False
1371,2,2025-03-02,2025-03-02 15:57:00,ML Model,0.8,18083,447789693165,1367.39,0.0,1367.39,Resolved,No Action,2025-03-16,Revenue Assurance,Birmingham,91,False
1372,11,2025-12-20,2025-12-20 03:49:00,Rule Engine,,15082,447723880239,2810.74,0.0,2810.74,Confirmed,Write-off,,External Partner,Birmingham,78,False
1373,11,2025-08-04,2025-08-04 17:15:00,Rule Engine,,23605,447384360513,3539.85,0.0,3539.85,Confirmed,No Action,,External Partner,London,77,False
1374,3,2025-02-03,2025-02-03 18:48:00,ML Model,0.78,7968,447986395143,22475.35,8538.47,10788.74,Investigating,,,External Partner,Glasgow,94,False
1375,1,2025-10-21,2025-10-21 22:32:00,Rule Engine,,7470,447759363642,4804.76,0.0,4804.76,Resolved,Law Enforcement,2025-11-08,Fraud Ops,Leicester,87,True
1376,2,2025-09-03,2025-09-03 00:39:00,Rule Engine,,27297,447168085947,841.56,505.75,185.52,Escalated,,,Fraud Ops,Glasgow,64,False
1377,10,2025-10-28,2025-10-28 05:52:00,ML Model,0.87,28611,447319656512,1797.32,1426.3,704.6,Escalated,,,External Partner,Manchester,74,False
1378,8,2025-01-01,2025-01-01 10:49:00,ML Model,0.74,27200,447851975487,17415.59,10068.77,3976.3,Escalated,,,Fraud Ops,Leicester,70,False
1379,12,2026-01-20,2026-01-20 06:44:00,ML Model,0.68,9475,447393775870,639.07,293.3,133.87,Investigating,,,Fraud Ops,Nottingham,96,False
1380,10,2025-08-29,2025-08-29 04:44:00,Partner Alert,,8477,447738390187,1523.43,0.0,1523.43,Resolved,Write-off,2025-09-01,Fraud Ops,Edinburgh,94,False
1381,8,2025-07-25,2025-07-25 16:54:00,ML Model,0.74,3428,447945332098,23355.39,0.0,23355.39,Resolved,Account Blocked,2025-08-03,Revenue Assurance,Southampton,80,False
1382,11,2025-11-17,2025-11-17 17:39:00,Customer Report,,26371,447367335704,1945.01,0.0,1945.01,Confirmed,Customer Warned,,External Partner,Newcastle,99,False
1383,3,2025-09-17,2025-09-17 10:51:00,ML Model,0.85,21624,447152936042,19367.54,0.0,19367.54,Confirmed,Account Blocked,,Fraud Ops,Manchester,99,True
1384,6,2025-04-03,2025-04-03 22:02:00,ML Model,0.97,11511,447221749994,164.25,0.0,164.25,Resolved,Customer Warned,2025-04-15,Fraud Ops,Sheffield,65,False
1385,8,2025-04-27,2025-04-27 13:20:00,Rule Engine,,8145,447541081964,41709.94,0.0,41709.94,Resolved,No Action,2025-05-23,Revenue Assurance,Manchester,92,False
1386,3,2025-11-03,2025-11-03 20:36:00,Rule Engine,,9868,447966502737,3262.66,0.0,3262.66,Resolved,Account Blocked,2025-11-04,Revenue Assurance,Glasgow,93,False
1387,2,2025-01-25,2025-01-25 08:50:00,Customer Report,,29591,447895170314,1537.26,0.0,1537.26,Confirmed,Customer Warned,,External Partner,Bristol,91,False
1388,3,2025-08-12,2025-08-12 09:20:00,Partner Alert,,13881,447491043371,13475.47,0.0,13475.47,Detected,,,External Partner,Nottingham,88,False
1389,11,2025-10-20,2025-10-20 16:51:00,Partner Alert,,19943,447131021832,2308.04,1805.76,594.75,Escalated,,,External Partner,Birmingham,75,False
1390,3,2026-02-14,2026-02-14 05:49:00,Manual Review,,13722,447461321998,20519.61,0.0,20519.61,Confirmed,Refund Issued,,Security,London,66,False
1391,3,2025-11-08,2025-11-08 03:11:00,ML Model,0.97,4986,447415800707,17677.66,9064.18,8072.9,False Positive,,,Revenue Assurance,Nottingham,88,False
1392,11,2025-12-22,2025-12-22 19:04:00,Partner Alert,,12785,447129795156,3317.56,0.0,3317.56,Confirmed,Refund Issued,,Fraud Ops,Manchester,71,False
1393,12,2025-02-17,2025-02-17 16:40:00,Rule Engine,,12723,447164390815,776.39,604.24,279.52,Escalated,,,Fraud Ops,Nottingham,94,True
1394,5,2025-09-22,2025-09-22 05:36:00,ML Model,0.95,19515,447484791405,49107.94,0.0,49107.94,Resolved,Customer Warned,2025-10-10,External Partner,Leicester,60,False
1395,3,2025-03-11,2025-03-11 20:51:00,Manual Review,,13927,447181754369,49713.69,0.0,49713.69,Confirmed,Law Enforcement,,Revenue Assurance,Newcastle,67,False
1396,1,2025-09-28,2025-09-28 18:46:00,ML Model,0.77,12645,447908054052,1331.02,0.0,1331.02,Resolved,Customer Warned,2025-10-09,Fraud Ops,Sheffield,95,False
1397,10,2025-03-28,2025-03-28 21:35:00,ML Model,0.69,22765,447906571826,768.57,0.0,768.57,Confirmed,No Action,,Revenue Assurance,Edinburgh,80,False
1398,3,2026-01-21,2026-01-21 13:16:00,Customer Report,,10011,447800961485,49007.44,0.0,49007.44,Confirmed,Account Blocked,,Security,Glasgow,89,False
1399,1,2025-04-11,2025-04-11 22:28:00,ML Model,0.72,9355,447926513766,4243.0,0.0,4243.0,Detected,,,External Partner,Belfast,99,False
1400,12,2025-08-19,2025-08-19 20:41:00,Customer Report,,22234,447896997211,904.86,0.0,904.86,Resolved,Refund Issued,2025-08-27,Revenue Assurance,Sheffield,70,True
1401,10,2025-10-12,2025-10-12 22:00:00,Rule Engine,,21465,447682936572,1100.85,0.0,1100.85,Resolved,Account Blocked,2025-11-10,Fraud Ops,Nottingham,64,False
1402,4,2025-05-07,2025-05-07 01:24:00,Customer Report,,19952,447951290613,1662.07,0.0,1662.07,Confirmed,Write-off,,Revenue Assurance,Liverpool,94,False
1403,1,2025-11-16,2025-11-16 00:02:00,Manual Review,,28110,447851624282,4479.59,0.0,4479.59,Confirmed,Refund Issued,,Fraud Ops,Edinburgh,64,False
1404,4,2025-08-31,2025-08-31 05:17:00,Rule Engine,,8327,447373152725,1035.06,0.0,1035.06,Resolved,Account Blocked,2025-09-27,Security,Glasgow,76,False
1405,10,2025-04-18,2025-04-18 14:45:00,Customer Report,,25700,447693211288,1647.93,885.85,635.87,False Positive,,,Fraud Ops,London,80,False
1406,6,2025-03-17,2025-03-17 12:51:00,Rule Engine,,20385,447709776411,1096.43,468.97,396.53,Escalated,,,External Partner,Cardiff,93,False
1407,2,2026-01-27,2026-01-27 10:30:00,Real-time Monitor,,18966,447854923795,3483.94,0.0,3483.94,Detected,,,Revenue Assurance,Southampton,90,True
1408,10,2025-12-15,2025-12-15 23:38:00,Partner Alert,,17710,447902835673,318.18,0.0,318.18,Confirmed,Account Blocked,,External Partner,Newcastle,76,False
1409,1,2025-04-15,2025-04-15 18:50:00,ML Model,0.73,3382,447262079043,4175.04,0.0,4175.04,Resolved,No Action,2025-04-30,Fraud Ops,Belfast,95,False
1410,4,2026-02-23,2026-02-23 22:36:00,ML Model,0.71,18254,447327731112,356.38,261.39,170.08,False Positive,,,Revenue Assurance,Birmingham,67,True
1411,1,2025-04-05,2025-04-05 03:02:00,ML Model,0.89,29821,447131998026,1227.1,604.92,405.18,False Positive,,,External Partner,Newcastle,84,True
1412,6,2026-02-23,2026-02-23 07:57:00,ML Model,0.96,18122,447410701151,626.17,0.0,626.17,Confirmed,Account Blocked,,Security,Belfast,75,False
1413,1,2025-09-19,2025-09-19 17:41:00,Partner Alert,,4531,447309366141,3800.07,0.0,3800.07,Resolved,Law Enforcement,2025-10-03,Security,Glasgow,86,False
1414,6,2025-12-13,2025-12-13 00:29:00,ML Model,0.91,27372,447907020947,1590.71,0.0,1590.71,Detected,,,External Partner,Leicester,71,True
1415,10,2025-05-23,2025-05-23 00:57:00,Rule Engine,,22579,447149475018,1889.74,980.34,420.2,Escalated,,,External Partner,Bristol,84,False
1416,1,2025-01-07,2025-01-07 02:45:00,ML Model,0.68,27549,447341372272,4534.44,0.0,4534.44,Confirmed,Law Enforcement,,Security,London,88,False
1417,1,2025-11-11,2025-11-11 11:49:00,ML Model,0.86,18406,447916267975,4107.93,1318.56,1579.72,False Positive,,,Revenue Assurance,Bristol,86,False
1418,3,2025-03-14,2025-03-14 12:38:00,Rule Engine,,15045,447942792459,19207.07,0.0,19207.07,Resolved,No Action,2025-04-03,Fraud Ops,Edinburgh,74,False
1419,6,2025-09-24,2025-09-24 21:41:00,Real-time Monitor,,15903,447939225097,1800.53,0.0,1800.53,Resolved,Customer Warned,2025-10-11,Fraud Ops,Liverpool,61,False
1420,6,2025-04-03,2025-04-03 19:15:00,Rule Engine,,4146,447123919685,757.89,567.2,156.89,False Positive,,,Fraud Ops,Birmingham,87,False
1421,9,2025-07-03,2025-07-03 12:00:00,Rule Engine,,9920,447184459779,936.38,542.66,432.42,Escalated,,,Fraud Ops,Nottingham,96,False
1422,1,2025-02-07,2025-02-07 14:31:00,ML Model,0.98,14973,447412230513,3941.43,0.0,3941.43,Confirmed,No Action,,Fraud Ops,Belfast,68,False
1423,4,2025-04-05,2025-04-05 20:35:00,Customer Report,,4741,447401002995,1578.91,0.0,1578.91,Detected,,,Fraud Ops,Cardiff,97,False
1424,1,2025-05-17,2025-05-17 14:03:00,Real-time Monitor,,26581,447859278221,967.43,451.92,364.03,Investigating,,,Security,Newcastle,83,False
1425,1,2026-02-26,2026-02-26 01:20:00,Partner Alert,,14258,447936984208,2812.41,0.0,2812.41,Resolved,Law Enforcement,2026-03-14,Revenue Assurance,London,96,True
1426,10,2025-07-07,2025-07-07 23:03:00,Rule Engine,,2077,447778731816,1019.04,0.0,1019.04,Detected,,,External Partner,Leeds,81,False
1427,12,2025-08-24,2025-08-24 17:39:00,ML Model,0.94,10752,447874296165,384.77,306.25,135.03,False Positive,,,Security,London,63,True
1428,5,2026-02-23,2026-02-23 02:24:00,ML Model,0.8,17769,447953454348,26077.15,8997.78,12989.18,Investigating,,,Security,London,90,True
1429,9,2025-10-15,2025-10-15 00:39:00,ML Model,0.78,5833,447598024924,1300.89,0.0,1300.89,Resolved,Account Blocked,2025-10-18,Fraud Ops,Southampton,65,False
1430,4,2026-01-18,2026-01-18 14:03:00,Manual Review,,26897,447711508721,1766.22,0.0,1766.22,Resolved,Refund Issued,2026-02-14,Revenue Assurance,Leeds,62,True
1431,1,2025-08-09,2025-08-09 20:05:00,ML Model,0.89,28746,447641359164,3008.88,0.0,3008.88,Resolved,Account Blocked,2025-08-25,Security,Edinburgh,80,False
1432,2,2025-11-27,2025-11-27 18:13:00,Rule Engine,,28352,447542515870,790.16,0.0,790.16,Resolved,Customer Warned,2025-12-11,Security,Birmingham,98,False
1433,12,2026-01-28,2026-01-28 15:12:00,ML Model,0.86,26371,447433777615,275.36,181.87,131.54,False Positive,,,Fraud Ops,Leeds,64,True
1434,3,2025-03-20,2025-03-20 14:57:00,ML Model,0.71,9725,447329067512,17913.85,0.0,17913.85,Resolved,No Action,2025-04-02,Security,Sheffield,76,False
1435,11,2025-05-04,2025-05-04 17:27:00,Rule Engine,,1276,447900294049,1753.24,578.99,804.06,False Positive,,,External Partner,Sheffield,72,False
1436,2,2026-01-03,2026-01-03 05:20:00,Real-time Monitor,,26222,447344653690,4982.63,2748.87,1814.42,False Positive,,,External Partner,Leicester,100,False
1437,3,2025-03-12,2025-03-12 14:59:00,Rule Engine,,9067,447856652902,27239.51,0.0,27239.51,Confirmed,Account Blocked,,Fraud Ops,Bristol,83,False
1438,3,2025-02-10,2025-02-10 23:52:00,Rule Engine,,319,447737874179,18528.99,0.0,18528.99,Confirmed,Refund Issued,,Fraud Ops,Edinburgh,81,False
1439,3,2025-01-22,2025-01-22 19:06:00,Customer Report,,29147,447350794956,24922.53,0.0,24922.53,Resolved,Write-off,2025-01-23,Fraud Ops,Manchester,66,False
1440,5,2025-07-18,2025-07-18 21:24:00,ML Model,0.76,1769,447837378898,5190.36,2322.51,2505.54,Escalated,,,Revenue Assurance,Birmingham,100,True
